transition_sequence,end_simulation_time_s,dt_s,collision_this_step,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
0,1.0150000000000001,0.024000000000000132,False,2.919364305853378e-09,2.919364305853378e-09,1.12869690482853e-07,1.12869690482853e-07,0.0,0.0,1.1287123413694644e-07,2.143368689644376e-06,1.0430806263173054e-07
1,1.04,0.02499999999999991,False,1.4108877621765714e-08,1.4108877621765714e-08,5.016773139132624e-07,5.016773139132624e-07,0.0,0.0,5.016781727817943e-07,1.347112828398167e-06,1.8626455755565985e-07
2,1.069,0.028999999999999915,False,7.003291102591902e-08,7.003291102591902e-08,2.0289810453988366e-06,2.0289810453988366e-06,0.0,0.0,2.0289807700635265e-06,7.598936690556002e-06,5.140901038203083e-07
3,1.11,0.04100000000000015,False,1.5420744148286758e-07,1.5420744148286758e-07,3.0619151800692634e-06,3.0619151800692634e-06,0.0,0.0,3.061913879776057e-06,1.860125854591388e-05,5.662440543119374e-07
4,1.147,0.03699999999999992,False,1.2641146440728335e-07,1.2641146440728335e-07,2.890207419170565e-06,2.890207419170565e-06,0.0,0.0,2.8902067157332567e-06,2.301037778806858e-05,2.3841862173412665e-07
5,1.182,0.03499999999999992,False,9.10529251996195e-09,9.10529251996195e-09,5.012587820374392e-07,5.012587820374392e-07,0.0,0.0,5.012587607211572e-07,1.2720626841655758e-05,7.450584860180243e-08
6,1.215,0.03300000000000014,False,1.0646147075021872e-07,1.0646147075021872e-07,2.8357257235711586e-06,2.8357257235711586e-06,0.0,0.0,2.835726348848766e-06,3.6836598098943796e-05,8.940703821735951e-08
7,1.2510000000000001,0.03600000000000003,False,3.067882516916143e-07,3.067882516916143e-07,3.115102586548346e-06,3.115102586548346e-06,0.0,0.0,3.1151011228303105e-06,1.3785215969619458e-05,1.087784767150879e-06
8,1.284,0.03299999999999992,False,1.1482563877507346e-07,1.1482563877507346e-07,2.90757429866062e-06,2.90757429866062e-06,0.0,0.0,2.907573502852756e-06,3.806557094776508e-05,8.940691031966708e-08
9,1.318,0.03400000000000003,False,3.2056755117082503e-07,3.2056755117082503e-07,2.7812853886644007e-06,2.7812853886644007e-06,0.0,0.0,2.781284322850297e-06,1.2673381490913016e-05,9.238719940185547e-07
10,1.348,0.030000000000000027,False,1.8709852156462148e-07,1.8709852156462148e-07,8.583814405938028e-07,8.583814405938028e-07,0.0,0.0,8.583828616792744e-07,6.105281499912962e-06,0.0
11,1.381,0.03299999999999992,False,7.102482868504012e-08,7.102482868504012e-08,1.3604067987671442e-06,1.3604067987671442e-06,0.0,0.0,1.3604051218862878e-06,2.1275100380080403e-05,0.0
12,1.412,0.030999999999999917,False,1.9539311324479058e-07,1.9539311324479058e-07,3.9240387650352204e-07,3.9240387650352204e-07,0.0,0.0,3.924054112758313e-07,7.315493007808982e-06,0.0
13,1.449,0.037000000000000144,False,9.459870398131898e-08,9.459870398131898e-08,5.167732695099403e-07,5.167732695099403e-07,0.0,0.0,5.167740653178043e-07,7.60166273039431e-06,0.0
