transition_sequence,end_simulation_time_s,dt_s,collision_this_step,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
0,1.387,0.028000000000000025,False,2.046533609245671e-08,2.046533609245671e-08,6.838478663340197e-07,6.838478663340197e-07,0.0,0.0,6.838479613691106e-07,2.155224962052671e-06,4.3213366218708416e-07
1,1.418,0.030999999999999917,False,1.6363060240109917e-08,1.6363060240109917e-08,8.172527516947525e-07,8.172527516947525e-07,0.0,0.0,8.172544525564263e-07,2.0277781032973508e-05,6.780028769526325e-07
2,1.449,0.03100000000000014,False,1.2830241757910699e-08,1.2830241757910699e-08,1.068689497785158e-06,1.068689497785158e-06,0.0,0.0,1.068688160188458e-06,2.484546712366864e-05,6.780027632657948e-07
3,1.479,0.030000000000000027,False,6.004938768455759e-08,6.004938768455759e-08,9.936957781064848e-07,9.936957781064848e-07,0.0,0.0,9.936958704770404e-07,3.1331497893916094e-06,5.960464335430515e-07
4,1.5090000000000001,0.030000000000000027,False,7.711685157119064e-08,7.711685157119064e-08,1.085306777781625e-06,1.085306777781625e-06,0.0,0.0,1.0853062875071373e-06,2.121135537436203e-06,5.960464335430515e-07
5,1.544,0.03499999999999992,False,9.875293471850455e-09,9.875293471850455e-09,5.079553702103112e-07,5.079553702103112e-07,0.0,0.0,5.079546880892849e-07,1.2915058164253423e-05,7.450584860180243e-08
6,1.576,0.03200000000000003,False,3.215877768525388e-07,3.215877768525388e-07,6.818394226115743e-06,6.818394226115743e-06,0.0,0.0,6.818394155061469e-06,6.05616331768033e-05,7.599592066753758e-07
7,1.608,0.03200000000000003,False,3.483596628939267e-07,3.483596628939267e-07,6.924541239072823e-06,6.924541239072823e-06,0.0,0.0,6.924542603314876e-06,6.213724674353216e-05,7.599592066753758e-07
8,1.641,0.03299999999999992,False,1.1485042250569677e-07,1.1485042250569677e-07,2.940732485967601e-06,2.940732485967601e-06,0.0,0.0,2.9407309227735823e-06,3.840685309342007e-05,8.940691031966708e-08
9,1.672,0.030999999999999917,False,1.1077281669713557e-07,1.1077281669713557e-07,1.4492684670130984e-06,1.4492684670130984e-06,0.0,0.0,1.4492694049295096e-06,3.1957826763573394e-05,6.780028911634872e-07
