start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
0,19,0.5,0.5209999999999999,20,0,0,0,no_event,2.13970372442418e-06,2.388515554230253e-07,0.0,0.0
0,38,1.0,1.0239999999999998,39,1,0,0,no_event,2.5561932943674037e-06,5.493785735666279e-06,0.0,0.0
0,57,1.5,1.519,58,2,0,0,no_event,1.3475938658302766e-06,1.8704785276213443e-06,78.99483153327787,465.5972693087315
1,20,0.5,0.5210000000000001,20,0,0,0,no_event,2.1151618057047017e-06,2.0500047526184062e-07,0.0,0.0
1,39,1.0,1.0250000000000001,39,1,0,0,no_event,10.851688420885239,88.91932035977497,0.0,0.0
1,58,1.5,1.522,58,2,0,0,no_event,36.97859008381943,27.26342936624056,125.5656375160828,463.7863817969183
2,21,0.5,0.5229999999999999,20,0,0,0,no_event,2.124933871527901e-06,2.0495443209256337e-07,0.0,0.0
2,39,1.0,1.0,38,1,0,0,no_event,10.851688531942273,88.91932035977618,0.0,0.0
2,59,1.5,1.5230000000000001,58,2,0,0,no_event,37.55805240192478,22.28700522523158,114.49342030137943,425.8545061957105
3,22,0.5,0.52,20,0,0,0,no_event,1.8651973050509696e-06,7.594275075462065e-08,0.0,0.0
3,41,1.0,1.0220000000000002,39,1,0,0,no_event,15.443602741699237,89.48333663400439,0.0,0.0
3,60,1.5,1.5190000000000001,58,2,0,0,no_event,37.984649735546895,17.063877258563636,104.69653022472056,391.87560210804105
4,23,0.5,0.5190000000000001,20,0,0,0,no_event,2.054418700936367e-06,6.058311896595114e-08,0.0,0.0
4,42,1.0,1.0200000000000002,39,1,0,0,no_event,17.522405007093084,86.61676639213812,0.0,0.0
4,61,1.5,1.5210000000000001,58,2,0,0,no_event,38.32106518061789,12.014837438380624,94.71164677165784,356.6029774325799
5,24,0.5,0.5170000000000001,20,0,0,0,no_event,1.7974122101804824e-06,4.4799634224546026e-08,0.0,0.0
5,43,1.0,1.0190000000000001,39,1,0,0,no_event,19.65445096134249,82.00175529335525,0.0,0.0
5,62,1.5,1.5210000000000004,58,2,0,0,no_event,38.54452688911522,8.27634397082275,85.9292105980554,325.2754118244426
6,25,0.5,0.5170000000000001,20,0,0,0,no_event,2.046530312327377e-06,1.5812162246220396e-08,0.0,0.0
6,44,1.0,1.019,39,1,0,0,no_event,21.63822399847197,76.2989692065387,0.0,0.0
6,63,1.5,1.5210000000000001,58,2,0,0,no_event,38.69144042224775,5.650523639965343,78.19542680548987,297.45322155654577
7,26,0.5,0.5169999999999999,20,0,0,0,no_event,1.8248239257445675e-06,1.637741320337227e-08,0.0,0.0
7,45,1.0,1.018,39,1,0,0,no_event,23.454764133367348,69.86691532477143,0.0,0.0
7,64,1.5,1.5210000000000001,58,2,0,0,no_event,38.792274466058984,3.734577869134256,70.88257087696726,270.8465143048908
8,27,0.5,0.518,20,0,0,0,no_event,2.1160520873308997e-06,1.5158605037868256e-08,0.0,0.0
8,46,1.0,1.016,39,2,0,0,no_event,24.977093660438868,63.43040427067128,10.408361718410253,433.6817379804668
8,65,1.5,1.5219999999999998,58,2,0,0,no_event,38.85798626897713,2.4337731145144232,64.22890670134521,246.4320051235675
9,28,0.5,0.5150000000000001,20,0,0,0,no_event,1.8051570123134297e-06,9.494982577962219e-09,0.0,0.0
9,47,1.0,1.015,39,2,0,0,no_event,26.439898677252245,56.26171805333342,28.91882073279196,711.940724478578
9,66,1.5,1.5210000000000001,58,2,0,0,no_event,38.89944100086541,1.5943963949688111,58.382648278366844,224.85609234223824
10,29,0.5,0.516,20,0,0,0,no_event,1.7422868268113234e-06,3.7509266803681385e-09,0.0,0.0
10,48,1.0,1.015,39,2,0,0,no_event,27.688273208225723,49.934975040645355,50.20812259810228,851.5720703039532
10,67,1.5,1.5210000000000001,58,2,0,0,no_event,38.92576886381073,1.053106231023179,53.238328835215746,205.77277733055948
11,30,0.5,0.5189999999999999,20,0,0,0,no_event,1.732894247652439e-06,3.0047146992728813e-09,0.0,0.0
11,49,1.0,1.0150000000000001,39,2,0,0,no_event,28.80583387370268,44.702420282748264,72.96245280329417,910.1732036275517
11,68,1.5,1.521,58,2,0,0,no_event,38.943042808316136,0.6909494666817579,48.5332141738955,188.20458610008006
12,31,0.5,0.5190000000000001,20,1,0,0,no_event,0.05231376062738491,1.937602116187719,0.0,0.0
12,50,1.0,1.0130000000000001,39,2,0,0,no_event,29.822891320249482,40.682283472490255,95.14957107898944,887.4847270122909
12,69,1.5,1.5210000000000001,58,2,0,0,no_event,38.954801298151324,0.4354827738475535,43.921229586114514,170.81424308930423
13,32,0.5,0.518,20,1,0,0,no_event,0.2234744091384755,6.846434396800646,0.0,0.0
13,51,1.0,1.012,39,2,0,0,no_event,30.7661520687235,37.730435545161164,116.01620061685763,834.6651780102998
13,70,1.5,1.5190000000000001,58,2,0,0,no_event,38.96170259808969,0.28755926199258397,40.16173419571488,156.64564126493593
14,33,0.5,0.522,20,1,0,0,no_event,0.7042569606879852,16.578709744629094,0.0,0.0
14,52,1.0,1.0119999999999998,39,2,0,0,no_event,31.65686502546032,35.628512998953354,135.48693969002636,778.8295598856673
14,71,1.5,1.5210000000000001,58,2,0,0,no_event,38.966547097037164,0.17941776653614738,36.32681950685482,142.03387667798728
15,34,0.5,0.5229999999999999,20,1,0,0,no_event,1.4345553775393682,28.088399488188955,0.0,0.0
15,53,1.0,1.0119999999999998,39,2,0,0,no_event,32.51098090244761,34.16463032357514,153.61254324260335,725.0241394573862
15,72,1.5,1.522,58,2,0,0,no_event,38.96949704493443,0.11345270423800002,32.967532043896945,129.20336350552378
16,35,0.5,0.5249999999999999,20,1,0,0,no_event,2.6337858236411194,42.829661661973645,0.0,0.0
16,54,1.0,1.0150000000000001,39,2,0,0,no_event,33.46898208818777,33.03452076545218,172.91162104240036,665.4854320066868
16,73,1.5,1.521,58,2,0,0,no_event,38.97131643283262,0.07277290994036889,30.019569205835285,117.91851332435796
17,35,0.5,0.5,19,1,0,0,no_event,2.6337859006696362,42.82966166202333,0.0,0.0
17,55,1.0,1.016,39,2,0,0,no_event,34.310816778248636,32.3782525971074,171.09831008757902,615.0026451489748
17,74,1.5,1.521,58,2,0,0,no_event,38.972480107443744,0.04654166838227525,27.330031207868764,107.58151971577597
18,36,0.5,0.502,19,1,0,0,no_event,4.293452230319531,59.27379805050798,0.0,0.0
18,56,1.0,1.0200000000000002,39,2,0,0,no_event,35.26768531217874,31.895612047406573,154.29091936003095,560.2463493072377
18,75,1.5,1.5210000000000001,58,2,0,0,no_event,38.97323826784475,0.02915485730258638,24.788334675449832,97.75755861261294
19,37,0.5,0.5029999999999999,19,1,0,0,no_event,6.366079650434926,74.0224048961995,0.0,0.0
19,57,1.0,1.0239999999999998,39,2,0,0,no_event,36.21521594127523,30.56549487059796,138.5516563311606,507.7181542506585
19,76,1.5,1.519,58,2,0,0,no_event,38.97392161643927,0.02732638115764985,22.55999702669873,89.13350578717339
20,38,0.5,0.5029999999999999,19,1,0,0,no_event,8.539788168743257,83.60417178143928,0.0,0.0
20,58,1.0,1.026,39,2,0,0,no_event,36.97859214574464,27.26342936624056,125.5656375160828,463.7863817969183
20,77,1.5,1.518,58,3,0,0,no_event,38.934999944935726,1.5568720259008444,20.453134809491598,84.27448853846262
21,39,0.5,0.504,19,1,0,0,no_event,10.851690546913801,88.9193203598101,0.0,0.0
21,58,1.0,1.001,38,2,0,0,no_event,36.97859220984935,27.263429366240572,125.5656375160828,463.7863817969183
21,78,1.5,1.5190000000000001,58,3,0,0,no_event,38.766305616151726,6.4882487836087535,18.420952414806386,78.16086105662195
22,40,0.5,0.5029999999999999,19,1,0,0,no_event,13.206521115143119,90.57040224725148,0.0,0.0
22,59,1.0,1.0000000000000002,38,2,0,0,no_event,37.55805453706239,22.28700522523158,114.49342030137943,425.8545061957105
22,79,1.5,1.5160000000000002,58,3,0,0,no_event,38.43166888831968,13.943203130476974,16.689582951267425,72.14039430852208
23,41,0.5,0.5020000000000002,19,1,0,0,no_event,15.443604610881039,89.48333663401736,0.0,0.0
23,61,1.0,1.0270000000000001,39,2,0,0,no_event,38.32106717595434,12.014837438380624,94.71164677165784,356.6029774325799
23,80,1.5,1.517,58,3,0,0,no_event,37.747005421574045,25.357912266355612,14.925020256279469,65.3541735511617
24,42,0.5,0.5010000000000001,19,1,0,0,no_event,17.52240706456155,86.61676639214755,0.0,0.0
24,61,1.0,1.002,38,2,0,0,no_event,38.321067238086584,12.014837438380624,94.71164677165784,356.6029774325799
24,81,1.5,1.515,58,3,0,0,no_event,36.89982457633357,36.83396056963285,13.549978649417753,59.78441640422554
25,43,0.5,0.502,19,1,0,0,no_event,19.654452760946015,82.00175529336163,0.0,0.0
25,62,1.0,1.0040000000000002,38,2,0,0,no_event,38.54452868871897,8.27634397082275,85.9292105980554,325.2754118244426
25,82,1.5,1.518,58,3,0,0,no_event,35.4321235466399,52.417898442206564,12.054956629701653,53.3936432154817
26,44,0.5,0.5019999999999998,19,1,0,0,no_event,21.63822604583231,76.29896920654146,0.0,0.0
26,63,1.0,1.004,38,2,0,0,no_event,38.69144246960809,5.650523639965343,78.19542680548987,297.45322155654577
26,83,1.5,1.5190000000000001,58,3,0,0,no_event,33.6582380432684,65.69946774580012,10.765929732641688,47.74173670026962
27,45,0.5,0.5010000000000001,19,1,0,0,no_event,23.45476595898674,69.86691532477374,0.0,0.0
27,64,1.0,1.0040000000000002,38,2,0,0,no_event,38.79227629167838,3.734577869134256,70.88257087696726,270.8465143048908
27,84,1.5,1.5210000000000001,58,3,0,0,no_event,31.48081216687467,75.08365622585625,9.540822358035864,42.245081580903786
28,47,0.5,0.5239999999999998,20,2,0,0,no_event,26.439900448402113,56.26171805333451,28.91882073279196,711.940724478578
28,65,1.0,1.0039999999999998,38,2,0,0,no_event,38.85798838573521,2.4337731145144232,64.22890670134521,246.4320051235675
28,85,1.5,1.5210000000000001,58,3,0,0,no_event,29.34015301740544,79.2836771457215,8.523936921197508,37.662423417982325
29,47,0.5,0.4999999999999998,19,2,0,0,no_event,26.43990048284661,56.26171805333458,28.91882073279196,711.940724478578
29,66,1.0,1.006,38,2,0,0,no_event,38.899442806459774,1.5943963949688111,58.382648278366844,224.85609234223824
29,86,1.5,1.5250000000000001,58,3,0,0,no_event,27.105650148780796,79.8036756181924,7.588410691162989,33.41165089626543
30,49,0.5,0.5240000000000002,20,2,0,0,no_event,28.805835464077518,44.70242028274859,72.96245280329417,910.1732036275517
30,67,1.0,1.0050000000000001,38,2,0,0,no_event,38.92577060627673,1.053106231023179,53.238328835215746,205.77277733055948
30,87,1.5,1.5280000000000002,58,3,0,0,no_event,24.865454001125386,77.2481464400173,6.732658770631214,29.50868673818478
31,50,0.5,0.5210000000000001,20,1,0,0,no_event,29.82289270324054,40.68228347249044,95.14957107898944,887.4847270122909
31,68,1.0,1.002,38,1,0,0,no_event,38.943044541349536,0.6909494666817579,48.5332141738955,188.20458610008006
31,87,1.5,1.5000000000000002,57,2,0,0,no_event,24.86545414378395,77.2481464400173,6.732658770631214,29.50868673818478
32,51,0.5,0.5189999999999999,20,1,0,0,no_event,5.809913545817835e-07,2.7788000593886863e-06,165.04886561031097,1098.6464833638606
32,69,1.0,1.002,38,1,0,0,no_event,2.9265606826811563e-06,9.257939836970763e-08,15.029625761958004,79.80122405323159
32,89,1.5,1.527,58,2,0,0,no_event,2.339609409318655e-06,2.1861221481955795e-06,0.7299966987541641,5.387828597231334
33,52,0.5,0.5189999999999999,20,1,0,0,no_event,5.804423608424258e-07,3.5025450202397224e-06,170.41364444010682,981.4995949422089
33,70,1.0,1.0010000000000001,38,1,0,0,no_event,2.8536339868878713e-06,6.299177357504959e-08,13.344896220272094,70.1970642351991
33,89,1.5,1.502,57,2,0,0,no_event,2.233908389825956e-06,2.1861221481955795e-06,0.7299966987541641,5.387828597231334
34,53,0.5,0.5149999999999997,20,1,0,0,no_event,3.2668640415067784e-07,4.092948870493274e-06,148.6848474966398,869.1518750929883
34,72,1.0,1.025,39,1,0,0,no_event,2.6629439844327862e-06,2.5118595203821314e-08,10.322638250600043,53.07313715635273
34,90,1.5,1.5030000000000001,57,2,0,0,no_event,1.8160803847422358e-06,1.4310109994752906e-06,0.595300156106615,4.489884636450855
35,54,0.5,0.5180000000000002,20,1,0,0,no_event,1.0130969485544483e-06,6.517202820077728e-06,126.97303241817136,748.6832692022532
35,73,1.0,1.024,39,1,0,0,no_event,3.142415266665921e-06,1.716804831630725e-08,9.1573248153932,46.61253721016619
35,91,1.5,1.5030000000000001,57,2,0,0,no_event,2.2189815354067832e-06,8.142461647153709e-07,0.4958687860182816,3.824283425782065
36,55,0.5,0.516,20,1,0,0,no_event,7.721554311501677e-07,2.3244793538879094e-06,110.02335348983802,651.910724314849
36,74,1.0,1.021,39,1,0,0,no_event,2.851602062037273e-06,1.1651792419797857e-08,8.132650642912843,40.98696669632989
36,92,1.5,1.5030000000000001,57,3,0,0,no_event,1.8570327664417563e-06,8.905879739308615e-07,4.1946063532451126,132.09777159595552
37,56,0.5,0.5180000000000002,20,1,0,0,no_event,6.35278524896421e-07,3.61356062228424e-06,93.42834712894853,553.1668704186177
37,75,1.0,1.0190000000000001,39,1,0,0,no_event,2.568005243119842e-06,6.379565320457914e-09,7.1992387770405,35.900456053129915
37,93,1.5,1.505,57,3,0,0,no_event,1.4840651220089748e-06,1.3791430324870775e-06,9.802997978732291,186.94639071728653
38,57,0.5,0.5209999999999999,20,1,0,0,no_event,6.085164159230771e-07,1.8682594173924372e-06,78.99483153327787,465.5972693087315
38,76,1.0,1.016,39,1,0,0,no_event,2.3842403606977314e-06,0.0,6.408008392117426,31.649215234050683
38,94,1.5,1.501,57,3,0,0,no_event,1.2419713243389683e-06,1.6786655481739984e-06,14.397302331548998,191.42934817988387
39,58,0.5,0.5230000000000001,20,1,0,0,no_event,1.0489400210644817e-06,3.0251456166752178e-06,67.84735428262294,398.12418306753034
39,77,1.0,1.0150000000000001,39,2,0,0,no_event,2.672602704478777e-06,5.722831986076926e-07,5.633950948617229,30.962297590183862
39,95,1.5,1.5010000000000003,57,3,0,0,no_event,1.4846307816488542e-06,8.031077323208772e-07,18.956618513206063,175.35831654333447
40,59,0.5,0.5230000000000001,20,1,0,0,no_event,1.3154036651030765e-06,1.0680983564270718e-06,58.90323070593811,344.0047508873069
40,78,1.0,1.0150000000000001,39,2,0,0,no_event,2.9784658863718505e-06,2.4178851276701607e-06,4.880958088542951,28.96126357158822
40,96,1.5,1.5,57,3,0,0,no_event,1.6516376484760636e-06,7.78818647307057e-07,22.692290611099523,149.42688500974947
41,60,0.5,0.5220000000000002,20,1,0,0,no_event,1.507790670984832e-06,1.1683193008593662e-06,51.43436430491155,298.75465508274806
41,79,1.0,1.0130000000000003,39,2,0,0,no_event,3.1419808692589868e-06,1.0261666432143102e-06,4.244288477855491,26.52790043970943
41,97,1.5,1.5,57,3,0,0,no_event,1.7602526143608534e-06,1.6736915795059402e-06,25.768201914853282,118.304283042147
42,61,0.5,0.5249999999999999,20,1,0,0,no_event,1.6449164377263514e-06,1.2825030637486634e-06,44.29513329051681,254.97253319443666
42,80,1.0,1.0149999999999997,39,2,0,0,no_event,3.090624772994488e-06,4.048000405987295e-06,3.6089273788910683,23.53189221695707
42,98,1.5,1.5,57,3,0,0,no_event,1.7397803977754443e-06,4.1004728946841743e-07,27.975154042299508,88.27808634857612
43,61,0.5,0.5009999999999999,19,1,0,0,no_event,1.6392787074437365e-06,1.282480582176504e-06,44.29513329051681,254.97253319443666
43,81,1.0,1.0139999999999998,39,2,0,0,no_event,3.1619053970644018e-06,4.730846399070288e-06,3.1261498883742878,20.990324389231716
43,99,1.5,1.501,57,3,0,0,no_event,1.7412662230871753e-06,2.0930557525446116e-06,29.481139019359958,60.23940034717637
44,62,0.5,0.5020000000000002,19,1,0,0,no_event,1.8064071127810166e-06,1.2231853645516821e-06,38.383146219804345,218.96248208778206
44,82,1.0,1.016,39,2,0,0,no_event,3.023502017640567e-06,8.420588400781526e-06,2.6210662839828536,18.038699811027538
44,100,1.5,1.5020000000000002,57,3,0,0,no_event,1.8063145321954475e-06,5.125017486850154e-06,30.382740741598727,33.39265928994655
45,63,0.5,0.5020000000000002,19,1,0,0,no_event,1.9216490727558266e-06,5.984238100609218e-07,33.46363043477572,189.21214434358677
45,83,1.0,1.0170000000000003,39,2,0,0,no_event,2.8059096166543895e-06,1.0251568646424403e-05,2.203775437306581,15.455216315687052
45,101,1.5,1.5020000000000002,57,3,0,0,no_event,1.8479761831601765e-06,1.5500677028373591e-06,30.681738368451256,11.499910856565094
46,64,0.5,0.5030000000000001,19,0,0,0,no_event,2.053351067843323e-06,5.433230967355485e-07,29.071209757507106,162.68224573992865
46,84,1.0,1.02,39,1,0,0,no_event,2.564590658948873e-06,1.0100153033931747e-05,1.8269514508999785,12.993930263690505
46,102,1.5,1.501,57,2,0,0,no_event,1.8916176400505908e-06,2.7432044966104423e-06,30.533435242212498,5.932123832026463
47,65,0.5,0.5059999999999998,19,0,0,0,no_event,2.1236838847471518e-06,4.4148583810965647e-07,9.005802113687162,18.49443910597484
47,85,1.0,1.0230000000000001,39,1,0,0,no_event,9.635296947483425,79.28436330671961,1.0682568866134425,7.528677087305135
47,103,1.5,1.5030000000000001,57,2,0,0,no_event,29.038274575833135,12.972811227391007,29.985253195182015,20.476912589572407
48,66,0.5,0.5060000000000002,19,0,0,0,no_event,2.273942072861246e-06,2.2298550561572483e-07,8.5034625361857,19.320747640782926
48,86,1.0,1.0250000000000004,39,1,0,0,no_event,11.869811600607363,79.80409754649713,0.8902379337849178,6.357819447782001
48,104,1.5,1.504,57,2,0,0,no_event,29.32804706452122,11.097426108612455,29.11347569020171,32.28805325203584
49,67,0.5,0.5060000000000002,19,0,0,0,no_event,2.213642460446863e-06,1.5968865341164928e-07,8.011709684529716,19.670108100992287
49,86,1.0,1.0000000000000004,38,1,0,0,no_event,11.869811720825737,79.80409754649561,0.8902379298388672,6.357819418083495
49,105,1.5,1.5020000000000002,57,2,0,0,no_event,29.545171647971674,9.64937351076599,28.196075376267892,39.886960207307496
