start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
0,19,0.5,0.5209999999999999,20,0,0,2.13970372442418e-06,2.388515554230253e-07,0.0,0.0
0,38,1.0,1.0239999999999998,39,1,0,2.5561932943674037e-06,5.493785735666279e-06,0.0,0.0
0,57,1.5,1.519,58,2,0,1.3475938658302766e-06,1.8704785276213443e-06,89.38995477850463,442.73072087898834
1,20,0.5,0.5210000000000001,20,0,0,2.1151618057047017e-06,2.0500047526184062e-07,0.0,0.0
1,39,1.0,1.0250000000000001,39,1,0,2.4251932018160005e-06,2.117112909871821e-06,0.0,0.0
1,58,1.5,1.522,58,2,0,1.0635050102791865e-06,3.026174596243436e-06,78.60149258322711,385.30221680405003
2,21,0.5,0.5229999999999999,20,0,0,2.124933871527901e-06,2.0495443209256337e-07,0.0,0.0
2,39,1.0,1.0,38,1,0,2.3141362817113986e-06,2.1171141462161813e-06,0.0,0.0
2,59,1.5,1.5230000000000001,58,2,0,8.53473466122523e-07,1.068551569005649e-06,69.78447245803419,339.1161565991572
3,22,0.5,0.52,20,0,0,1.8651973050509696e-06,7.594275075462065e-08,0.0,0.0
3,41,1.0,1.0220000000000002,39,1,0,1.954830395334284e-06,6.619080146208489e-07,0.0,0.0
3,60,1.5,1.5190000000000001,58,2,0,4.221028575557284e-07,1.168489063729794e-06,62.27786619242677,300.2642496659824
4,23,0.5,0.5190000000000001,20,0,0,2.054418700936367e-06,6.058311896595114e-08,0.0,0.0
4,42,1.0,1.0200000000000002,39,1,0,2.0678153305198066e-06,6.26356753130608e-07,0.0,0.0
4,61,1.5,1.5210000000000001,58,2,0,3.8939242585911416e-07,1.282646991285219e-06,54.93287282021035,262.32118883092494
5,24,0.5,0.5170000000000001,20,0,0,1.7974122101804824e-06,4.4799634224546026e-08,0.0,0.0
5,43,1.0,1.0190000000000001,39,1,0,1.7498234683444025e-06,5.269150271658418e-08,0.0,0.0
5,62,1.5,1.5210000000000004,58,2,0,6.491995918622706e-08,1.2232442259119125e-06,48.70703037449946,230.5867552358697
6,25,0.5,0.5170000000000001,20,0,0,2.046530312327377e-06,1.5812162246220396e-08,0.0,0.0
6,44,1.0,1.019,39,1,0,1.917211534419039e-06,1.9798310146867948e-07,0.0,0.0
6,63,1.5,1.5210000000000001,58,2,0,1.027387952490244e-09,5.984343260934111e-07,43.40568683796541,203.89782709379273
7,26,0.5,0.5169999999999999,20,0,0,1.8248239257445675e-06,1.637741320337227e-08,0.0,0.0
7,45,1.0,1.018,39,1,0,1.5879718375799712e-06,2.773730289895582e-07,0.0,0.0
7,64,1.5,1.5210000000000001,58,2,0,4.5498688905354356e-07,5.433139449451119e-07,38.55518524625855,179.64820553393906
8,27,0.5,0.518,20,0,0,2.1160520873308997e-06,1.5158605037868256e-08,0.0,0.0
8,46,1.0,1.016,39,2,0,1.7643794762989273e-06,4.09584525185025e-08,16.26558375338147,677.7326561042671
8,65,1.5,1.5219999999999998,58,2,0,3.9585825106769335e-07,4.461155640456127e-07,34.27659232137288,158.466403244439
9,28,0.5,0.5150000000000001,20,0,0,1.8051570123134297e-06,9.494982577962219e-09,0.0,0.0
9,47,1.0,1.015,39,2,0,1.4562789374394924e-06,1.5125503707302812e-06,44.23653847291736,1075.8059439075882
9,66,1.5,1.5210000000000001,58,2,0,8.275404752566828e-07,2.3319503839047684e-07,30.621421889376954,140.58347730445843
10,29,0.5,0.516,20,0,0,1.7422868268113234e-06,3.7509266803681385e-09,0.0,0.0
10,48,1.0,1.015,39,2,0,1.3088817922835005e-06,3.0240719617324885e-07,75.31537885284193,1243.1536108885252
10,67,1.5,1.5210000000000001,58,2,0,1.0389617273176555e-06,1.7006223629323358e-07,27.486174783042138,125.4098838579057
11,30,0.5,0.5189999999999999,20,0,0,1.732894247652439e-06,3.0047146992728813e-09,0.0,0.0
11,49,1.0,1.0150000000000001,39,2,0,1.1287806955806445e-06,8.677191409844909e-07,107.325138941199,1280.3903989541539
11,68,1.5,1.521,58,2,0,1.249848423867661e-06,1.2193760312584345e-07,24.686983339575452,111.96765738593696
12,31,0.5,0.5190000000000001,20,1,0,1.4538012464981875e-06,1.5817938390227937e-06,0.0,0.0
12,50,1.0,1.0130000000000001,39,2,0,7.214246124931378e-07,1.9048518993258767e-06,136.84605214151915,1180.8365239972854
12,69,1.5,1.5210000000000001,58,2,0,1.7072896980607766e-06,9.257982469534909e-08,22.00984502975119,99.1532698316475
13,32,0.5,0.518,20,1,0,1.6012321566449828e-06,2.55912050306506e-06,0.0,0.0
13,51,1.0,1.012,39,2,0,7.920299367469852e-07,2.7819890959790428e-06,162.88667334526914,1041.6248446455734
13,70,1.5,1.5190000000000001,58,2,0,1.586451958246471e-06,6.299222832240048e-08,19.872054741958845,89.0745953229661
14,33,0.5,0.522,20,1,0,1.4443198779190425e-06,6.481275249825558e-06,0.0,0.0
14,52,1.0,1.0119999999999998,39,2,0,5.726211611545295e-07,3.5058407306109984e-06,174.2955806002485,912.7098391382128
14,71,1.5,1.5210000000000001,58,2,0,1.8069345060212072e-06,4.5622783773069386e-08,17.738584953287567,79.01739889321745
15,34,0.5,0.5229999999999999,20,1,0,1.3934429716755403e-06,7.968630910681895e-07,0.0,0.0
15,53,1.0,1.0119999999999998,39,2,0,3.512806188155082e-07,4.0976817317073255e-06,154.27846321728373,800.6846926728984
