start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
0,17,0.5,0.504,18,0,0,3.135916358587565e-06,8.70512138817503e-07,0.0,0.0
0,36,1.0,1.018,37,1,0,3.7234535739116836e-06,1.3562315608339759e-05,0.0,0.0
0,54,1.5,1.515,55,2,0,5.100126827528584e-07,6.629711705841146e-06,0.02907800073711645,0.07928714688637228
1,18,0.5,0.506,18,0,0,3.137153385068814e-06,6.933292127087043e-07,0.0,0.0
1,37,1.0,1.0180000000000002,37,1,0,3.2313696465280373e-06,1.2244072301825781e-05,0.0,0.0
1,55,1.5,1.5140000000000002,55,2,0,1.713951860438101e-07,3.354484675810454e-06,0.02707263668689461,0.07712682240790514
2,20,0.5,0.5289999999999999,19,0,0,3.425908857934701e-06,3.276316249412048e-07,0.0,0.0
2,38,1.0,1.0159999999999998,37,1,0,2.736791202551103e-06,9.810042993052548e-06,0.0,0.0
2,56,1.5,1.511,55,2,0,2.744175162661122e-07,4.2419930537107575e-06,0.025068231968883234,0.07423386662185294
3,20,0.5,0.504,18,0,0,3.3021838135027792e-06,3.230740048820735e-07,0.0,0.0
3,39,1.0,1.019,37,1,0,2.4173114070435986e-06,7.492020934307675e-06,0.0,0.0
3,57,1.5,1.5120000000000002,55,2,0,5.249594323686324e-07,2.0876702535588265e-06,0.023222599169369782,0.0709839126749614
4,21,0.5,0.5030000000000001,18,0,0,3.1321503684011986e-06,2.350081445001706e-07,0.0,0.0
4,40,1.0,1.018,37,1,0,1.978532850444026e-06,5.712917777955795e-06,0.0,0.0
4,58,1.5,1.5120000000000002,55,2,0,9.964394394046394e-07,2.0840543015765434e-06,0.021341460793300328,0.06718035252629306
5,22,0.5,0.502,18,0,0,3.34797368850559e-06,1.6108117506519193e-07,0.0,0.0
5,41,1.0,1.021,37,1,0,2.0155953279754613e-06,4.143774687825896e-06,0.0,0.0
5,59,1.5,1.512,55,2,0,9.49177206166496e-07,1.0049857053218147e-06,0.019691102248673757,0.06347382273845881
6,24,0.5,0.5250000000000001,19,0,0,3.129120841549593e-06,4.518673790698813e-08,0.0,0.0
6,42,1.0,1.0210000000000004,37,1,0,1.5359195231212652e-06,2.917448740369366e-06,0.0,0.0
6,60,1.5,1.512,55,2,0,1.5274587212843471e-06,9.985278097701666e-07,0.017972294728359147,0.05926630403281763
7,25,0.5,0.526,19,0,0,3.4163239206463913e-06,3.386759317436372e-08,0.0,0.0
7,43,1.0,1.0250000000000001,37,1,0,1.6537416058781673e-06,1.8644825656721764e-06,0.0,0.0
7,61,1.5,1.514,55,2,0,1.5067638514665305e-06,8.101202411125996e-07,0.016425811379788758,0.055229428991239615
8,25,0.5,0.5009999999999999,18,0,0,3.270710408287414e-06,3.309861540401471e-08,0.0,0.0
8,43,1.0,1.0,36,1,0,1.5080951243362506e-06,1.8644826371705392e-06,0.0,0.0
8,62,1.5,1.5179999999999998,55,2,0,1.8235080005979398e-06,6.382953756656207e-07,0.014943091789971129,0.051126032147749356
9,27,0.5,0.5249999999999999,19,0,0,3.0639093893114477e-06,1.2169522278782097e-08,0.0,0.0
9,45,1.0,1.025,37,2,0,9.742880138219334e-07,2.722007556243966e-06,0.037805506394578525,0.4644379197877697
9,63,1.5,1.516,55,2,0,2.3525298047388787e-06,4.81381022154892e-07,0.013662221953431945,0.04743835553645681
10,28,0.5,0.5230000000000001,19,0,0,2.8308229502727045e-06,5.723450158257037e-09,0.0,0.0
10,46,1.0,1.0260000000000002,37,2,0,5.144167971593561e-07,4.3384109549293726e-06,0.04258298187079491,0.16475788357593046
10,64,1.5,1.5150000000000001,55,2,0,2.788402071018936e-06,3.510525061756198e-07,0.01247697156484615,0.04389699133106717
11,29,0.5,0.5189999999999999,19,0,0,2.6462084861123003e-06,2.3668746962357545e-09,0.0,0.0
11,47,1.0,1.0210000000000001,37,2,0,1.2141993011027807e-07,4.491680023477329e-06,0.04291683198397252,0.013358348320707591
11,65,1.5,1.511,55,2,0,3.1470310659642564e-06,1.9862366684719746e-07,0.011420323358105198,0.040639627720203464
12,30,0.5,0.516,19,1,0,2.448362579343666e-06,1.582095705998654e-06,0.0,0.0
12,48,1.0,1.0179999999999998,37,2,0,3.343959633639315e-07,6.140087389638893e-06,0.04169284781422402,0.04532270328479626
12,66,1.5,1.509,55,2,0,3.549089342413936e-06,1.3787501984552364e-07,0.010375266638169518,0.037322330398708914
13,31,0.5,0.5120000000000002,19,1,0,2.3246925593412016e-06,4.3099555000480905e-06,0.0,0.0
13,49,1.0,1.014,37,2,0,6.835906560809235e-07,7.578961835008613e-06,0.03988529186683259,0.06693784071717346
13,67,1.5,1.502,55,2,0,3.6979433843953302e-06,9.301737691203016e-08,0.009543930079935568,0.03463898048639891
14,32,0.5,0.5039999999999998,19,1,0,2.2148747120809276e-06,7.516310716937369e-06,0.0,0.0
14,50,1.0,1.006,37,2,0,9.64199898589868e-07,8.781908093169477e-06,0.0378651684410342,0.07481168777758285
14,69,1.5,1.519,56,2,0,3.866741963065579e-06,2.892988959501963e-08,0.007952005308796674,0.029329949376950992
15,33,0.5,0.5110000000000001,19,1,0,1.8047339835902676e-06,8.146745557269242e-06,0.0,0.0
15,51,1.0,1.013,37,2,0,1.5986627204256365e-06,8.087867200856635e-06,0.03549084277506067,0.0791327979860057
15,70,1.5,1.5220000000000002,56,2,0,4.2584724724292755e-06,1.5674032738388632e-08,0.007251693800137036,0.026934674673892545
16,34,0.5,0.5110000000000001,19,1,0,1.4099920235821628e-06,1.107099888031371e-05,0.0,0.0
16,52,1.0,1.0099999999999998,37,2,0,1.995627144424361e-06,7.833801504375515e-06,0.03347481658618815,0.08063877479366965
16,71,1.5,1.521,56,2,0,4.535198740995838e-06,1.1442210734458058e-08,0.006586778392399819,0.024626004303005544
17,35,0.5,0.5110000000000001,19,1,0,9.518751085124677e-07,1.298962141049742e-05,0.0,0.0
17,53,1.0,1.008,37,2,0,2.29714044053253e-06,3.508804127250187e-06,0.03137751648846585,0.08066180692600255
17,72,1.5,1.52,56,2,0,4.801182740266086e-06,8.11556333246699e-09,0.005979544893827021,0.02248966923065865
18,36,0.5,0.514,19,1,0,5.44131466995168e-07,1.3562422694235465e-05,0.0,0.0
18,54,1.0,1.011,37,2,0,2.669313630576653e-06,6.629711720052001e-06,0.02907800073711645,0.07928714688637228
18,73,1.5,1.523,56,2,0,5.0256210215593455e-06,0.0,0.005388638879934375,0.020375450611794577
19,37,0.5,0.5120000000000002,19,1,0,6.054108325770358e-08,1.224415184708505e-05,0.0,0.0
19,55,1.0,1.0080000000000002,37,2,0,2.9994366741448175e-06,3.3544846900213088e-06,0.02707263668689461,0.07712682240790514
19,74,1.5,1.519,56,3,0,5.245780357654439e-06,5.726114977733232e-07,0.004828846963449168,0.022391531640721496
20,38,0.5,0.5169999999999999,19,1,0,5.066655148766586e-07,9.810091849971059e-06,0.0,0.0
20,56,1.0,1.012,37,2,0,3.5178761663701152e-06,4.241993067921612e-06,0.025068231968883234,0.07423386662185294
20,75,1.5,1.5230000000000001,56,3,0,5.567823791352566e-06,3.35132983764197e-06,0.004223235686181655,0.02242964285504101
21,39,0.5,0.5149999999999999,19,1,0,9.000648333312711e-07,7.492052446878006e-06,0.0,0.0
21,57,1.0,1.0080000000000002,37,2,0,3.8423371506723925e-06,2.0876702535588265e-06,0.023222599169369782,0.0709839126749614
21,76,1.5,1.5200000000000002,56,3,0,5.674978297065536e-06,6.668833151479703e-06,0.003650752381817344,0.021202711585829093
22,40,0.5,0.5149999999999999,19,1,0,1.1645144013527897e-06,5.712939300295261e-06,0.0,0.0
22,58,1.0,1.0090000000000001,37,2,0,4.1394877143829945e-06,2.0840543015765434e-06,0.021341460793300328,0.06718035252629306
22,77,1.5,1.5210000000000001,56,3,0,5.628946041724703e-06,9.240936066134964e-06,0.003111385949813284,0.019262661914094537
23,41,0.5,0.5189999999999999,19,1,0,1.3397306020124233e-06,4.143787805332977e-06,0.0,0.0
23,59,1.0,1.01,37,2,0,4.304503818275407e-06,1.0049857053218147e-06,0.019691102248673757,0.06347382273845881
23,78,1.5,1.5240000000000002,56,3,0,5.440997369987599e-06,1.166538297070474e-05,0.0026335378093587576,0.017065642775481393
24,42,0.5,0.5220000000000002,19,1,0,1.5074501789058559e-06,2.917455268480751e-06,0.0,0.0
24,60,1.0,1.013,37,2,0,4.570828764371981e-06,9.985278097701666e-07,0.017972294728359147,0.05926630403281763
24,79,1.5,1.525,56,3,0,5.2077170948905405e-06,1.3626161376123491e-05,0.002230223463953572,0.014937322932047081
25,43,0.5,0.526,19,1,0,1.648208581173094e-06,1.8644857768812528e-06,0.0,0.0
25,61,1.0,1.015,37,2,0,4.808714265891467e-06,8.101202411125996e-07,0.016425811379788758,0.055229428991239615
25,80,1.5,1.527,56,3,0,4.98241809054889e-06,1.2659021443539586e-05,0.0018704884156608712,0.012847411227189909
26,44,0.5,0.524,19,2,0,1.8028162003247417e-06,1.5561260527929832e-06,0.024337253321661877,0.973492626372888
26,62,1.0,1.017,37,2,0,5.095704636914888e-06,6.382953756656207e-07,0.014943091789971129,0.051126032147749356
26,80,1.5,1.5,55,3,0,5.098310793982819e-06,1.2659021443539586e-05,0.0018704884156608712,0.012847411227189909
27,45,0.5,0.5269999999999999,19,2,0,1.974476731447794e-06,2.7220086469270655e-06,0.037805506394578525,0.4644379197877697
27,63,1.0,1.018,37,2,0,5.301294663695444e-06,4.81381022154892e-07,0.013662221953431945,0.04743835553645681
27,81,1.5,1.502,55,3,0,4.914224746244145e-06,1.0733652835881458e-05,0.001563910806204909,0.010948965376977426
28,45,0.5,0.5,18,2,0,2.0901619564028806e-06,2.722008849431745e-06,0.037805506394578525,0.4644379197877697
28,64,1.0,1.0180000000000002,37,2,0,5.531070428332896e-06,3.510525061756198e-07,0.01247697156484615,0.04389699133106717
28,82,1.5,1.5010000000000003,55,3,0,4.887539148512587e-06,5.9368310196816765e-06,0.0013199767640665605,0.009381966669955943
29,46,0.5,0.5030000000000001,18,2,0,2.3166626306192484e-06,4.338411555337984e-06,0.04258298187079491,0.16475788357593046
29,65,1.0,1.0179999999999998,37,2,0,5.704897603209247e-06,1.9862366684719746e-07,0.011420323358105198,0.040639627720203464
29,83,1.5,1.5019999999999998,55,3,0,4.850029995395744e-06,5.047584936690441e-06,0.0011053650905467282,0.007948447010603488
30,47,0.5,0.5020000000000002,18,1,0,2.52489644481102e-06,4.491680314799851e-06,0.04291683198397252,0.013358348320707591
30,66,1.0,1.02,37,1,0,5.926637300035509e-06,1.3787501984552364e-07,0.010375266638169518,0.037322330398708914
30,84,1.5,1.504,55,2,0,4.838385166294756e-06,3.8682294274394735e-06,0.0009187649948655374,0.006664151879613556
31,48,0.5,0.5019999999999998,18,1,0,2.566289595051785e-06,6.13711760522051e-06,0.04169284781422402,0.04532270328479626
31,67,1.0,1.017,37,1,0,5.814347105115303e-06,9.301717796006415e-08,0.009543930079935568,0.03463898048639891
31,85,1.5,1.504,55,2,0,4.6169615188773605e-06,2.960589417178028e-06,0.0007673712000990402,0.005607083742501295
32,49,0.5,0.5019999999999998,18,1,0,2.5516183086438105e-06,7.574727860060193e-06,0.03988529186683259,0.06693784071717346
32,68,1.0,1.016,37,1,0,5.647563966704183e-06,5.230893407315307e-08,0.00871459601483184,0.03189694521761055
32,86,1.5,1.5059999999999998,55,2,0,4.309872451813135e-06,2.1527095594997547e-06,0.0006326912187587453,0.004644022717332774
33,50,0.5,0.5020000000000002,18,1,0,2.507569661247544e-06,8.77726540693402e-06,0.0378651684410342,0.07481168777758285
