transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
0,1.27,0.026999999999999913,False,no_event,2.2349809114530217e-08,2.2349809114530217e-08,7.918715643207008e-07,7.918715643207008e-07,0.0,0.0,7.918714093335666e-07,4.2190228555227804e-07,3.5017733068798407e-07
1,1.3,0.030000000000000027,False,no_event,2.6294060262443963e-08,2.6294060262443963e-08,6.344782406131344e-07,6.344782406131344e-07,0.0,0.0,6.344771641408897e-07,6.066038622520864e-06,5.960464335430515e-07
2,1.325,0.02499999999999991,False,no_event,2.2343328964780085e-08,2.2343328964780085e-08,7.11551646048747e-07,7.11551646048747e-07,0.0,0.0,7.115520368472517e-07,3.013967102560855e-07,1.8626455755565985e-07
3,1.353,0.028000000000000025,False,no_event,6.968798516027164e-08,6.968798516027164e-08,1.8336271594421305e-06,1.8336271594421305e-06,0.0,0.0,1.8336275786623446e-06,7.678987969939044e-06,4.321336604107273e-07
4,1.379,0.026000000000000023,False,no_event,5.307788342179265e-08,5.307788342179265e-08,2.681371061186155e-06,2.681371061186155e-06,0.0,0.0,2.681370609991518e-06,3.65680437539595e-05,2.682208872784031e-07
5,1.408,0.028999999999999915,False,no_event,1.2720727227133466e-07,1.2720727227133466e-07,2.853556907211896e-06,2.853556907211896e-06,0.0,0.0,2.8535569924770243e-06,1.8142513738439447e-05,5.140901038203083e-07
6,1.434,0.026000000000000023,False,no_event,4.711955625680275e-08,4.711955625680275e-08,2.9437955149091977e-06,2.9437955149091977e-06,0.0,0.0,2.9437956357014627e-06,4.096048661494933e-05,2.682208872784031e-07
7,1.459,0.025000000000000133,False,no_event,5.0573248699947726e-08,5.0573248699947726e-08,1.0339054199448583e-06,1.0339054199448583e-06,0.0,0.0,1.0339033451600699e-06,3.822042060619424e-06,1.8626444386882213e-07
8,1.488,0.028999999999999915,False,no_event,1.717323812044924e-07,1.717323812044924e-07,3.075747031289211e-06,3.075747031289211e-06,0.0,0.0,3.0757456102037395e-06,2.1390298797996365e-05,5.140901038203083e-07
9,1.516,0.028000000000000025,False,no_event,1.4638271750300191e-07,1.4638271750300191e-07,2.328126811335096e-06,2.328126811335096e-06,0.0,0.0,2.3281262002683434e-06,1.4599534210901766e-05,4.3213367462158203e-07
10,1.546,0.030000000000000027,False,no_event,1.6702108496247092e-07,1.6702108496247092e-07,1.2424044797398892e-06,1.2424044797398892e-06,0.0,0.0,1.2424036128777516e-06,2.0601464711944573e-07,5.960464477539062e-07
11,1.576,0.030000000000000027,False,no_event,1.8161449588660616e-07,1.8161449588660616e-07,1.1400585151477571e-06,1.1400585151477571e-06,0.0,0.0,1.1400583588283553e-06,4.106995504571387e-06,0.0
12,1.607,0.030999999999999917,False,no_event,1.5527552932326216e-07,1.5527552932326216e-07,9.800334623832896e-07,9.800334623832896e-07,0.0,0.0,9.800322118280747e-07,1.785890583505534e-05,0.0
13,1.6420000000000001,0.03500000000000014,False,no_event,1.3652083907800261e-08,1.3652083907800261e-08,2.3909908009045466e-07,2.3909908009045466e-07,0.0,0.0,2.3909970536806213e-07,5.3255618865932774e-06,0.0
14,1.665,0.02299999999999991,False,no_event,2.965620069517172e-07,2.965620069517172e-07,2.2539825295098126e-07,2.2539825295098126e-07,0.0,0.0,2.253969739740569e-07,2.10734685879288e-06,0.0
15,1.693,0.028000000000000025,False,no_event,1.4828617622697493e-07,1.4828617622697493e-07,4.4783462271880126e-07,4.4783462271880126e-07,0.0,0.0,4.4783544694837474e-07,6.395401996428518e-06,0.0
16,1.721,0.028000000000000025,False,no_event,1.4627732980443398e-07,1.4627732980443398e-07,2.8776017302334367e-07,2.8776017302334367e-07,0.0,0.0,2.8776017302334367e-07,4.292137347761127e-06,0.0
17,1.747,0.026000000000000023,False,no_event,8.060294476308627e-08,8.060294476308627e-08,2.3584630071127322e-07,2.3584630071127322e-07,0.0,0.0,2.3584630071127322e-07,4.091575725340135e-06,0.0
18,1.776,0.028999999999999915,False,no_event,1.720416094030952e-07,1.720416094030952e-07,1.5487324844798422e-07,1.5487324844798422e-07,0.0,0.0,1.548732200262748e-07,2.4834790579575383e-06,0.0
19,1.799,0.02299999999999991,False,no_event,3.127671561742318e-07,3.127671561742318e-07,3.0068349587963894e-08,3.0068349587963894e-08,0.0,0.0,3.0068463274801616e-08,4.3673285432532793e-07,0.0
20,1.829,0.030000000000000027,False,no_event,1.965265710168751e-07,1.965265710168751e-07,2.7177776473763515e-08,2.7177776473763515e-08,0.0,0.0,2.717820279940497e-08,4.2493431351431354e-07,0.0
21,1.856,0.027000000000000135,False,no_event,1.1613690276135458e-07,1.1613690276135458e-07,3.481093813206826e-08,3.481093813206826e-08,0.0,0.0,3.4812870808309526e-08,5.863070420275562e-07,0.0
22,1.881,0.02499999999999991,False,no_event,6.155687515274622e-08,6.155687515274622e-08,8.540183671357227e-09,8.540183671357227e-09,0.0,0.0,8.542201612726785e-09,1.3857125846783447e-07,0.0
23,1.907,0.026000000000000023,False,no_event,8.801396234048298e-08,8.801396234048298e-08,1.4857647556709708e-08,1.4857647556709708e-08,0.0,0.0,1.4856965435683378e-08,2.7163955307329957e-07,0.0
24,1.933,0.026000000000000023,False,no_event,8.819915819913149e-08,8.819915819913149e-08,9.340141104985378e-09,9.340141104985378e-09,0.0,0.0,9.339828466181643e-09,1.716354347536253e-07,0.0
