start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
0,15,0.5,0.506,16,0,0,0,pre_event,4.958569888913189e-06,8.652812937270937e-07,0.0,0.0
0,31,1.0,1.0130000000000001,32,0,0,0,pre_event,8.245486014857306e-06,0.0,0.0,0.0
0,52,1.5,1.5060000000000002,53,0,0,0,pre_event,1.1984932143604965e-05,0.0,0.0,0.0
1,16,0.5,0.5269999999999999,16,0,0,0,pre_event,4.91829666771082e-06,4.967214408679865e-07,0.0,0.0
1,32,1.0,1.0130000000000001,32,0,0,0,pre_event,8.225879696510674e-06,0.0,0.0,0.0
1,53,1.5,1.509,53,0,0,1,event_crossing,5.370032759803315,233.47966573995885,0.0,0.0
2,16,0.5,0.5079999999999999,15,0,0,0,pre_event,4.681660129790544e-06,4.7082033916012733e-07,0.0,0.0
2,33,1.0,1.0139999999999998,32,0,0,0,pre_event,8.200524348467297e-06,0.0,0.0,0.0
2,54,1.5,1.5070000000000001,53,0,0,1,event_crossing,8.928016514509089,209.29316024234188,0.0,0.0
3,17,0.5,0.523,15,0,0,0,pre_event,4.349750724941259e-06,2.2523701659338258e-07,0.0,0.0
3,34,1.0,1.017,32,0,0,0,pre_event,8.123904876811139e-06,0.0,0.0,0.0
3,55,1.5,1.5159999999999998,53,0,0,1,event_crossing,13.392786930455273,165.36195776422716,0.0,0.0
4,17,0.5,0.504,14,0,0,0,pre_event,4.090476522833342e-06,2.1018604456912726e-07,0.0,0.0
4,35,1.0,1.02,32,0,0,0,pre_event,8.125569479489059e-06,0.0,0.0,0.0
4,56,1.5,1.517,53,0,0,1,event_crossing,16.080166134245218,134.36916790762098,0.0,0.0
5,18,0.5,0.5220000000000001,14,0,0,0,pre_event,4.06729498081404e-06,1.2907463542433106e-07,0.0,0.0
5,35,1.0,1.0020000000000002,31,0,0,0,pre_event,7.771422133373562e-06,0.0,0.0,0.0
5,57,1.5,1.5180000000000002,53,0,0,1,event_crossing,18.133186300108296,108.05405287625987,0.0,0.0
6,19,0.5,0.5190000000000001,14,0,0,0,pre_event,3.494338784548745e-06,4.942262421536725e-08,0.0,0.0
6,38,1.0,1.023,33,0,0,0,pre_event,7.226795105452766e-06,0.0,0.0,0.0
6,59,1.5,1.5050000000000001,54,0,0,1,event_crossing,21.311817571310797,59.848055065428014,0.0,0.0
7,20,0.5,0.522,14,0,0,0,pre_event,3.6992169043514878e-06,2.9627869935211493e-08,0.0,0.0
7,39,1.0,1.0199999999999998,33,0,0,0,pre_event,7.283131367330498e-06,0.0,0.0,0.0
7,61,1.5,1.531,55,0,0,1,event_crossing,23.165428704161346,25.58092447012033,0.0,0.0
8,21,0.5,0.516,14,0,0,0,pre_event,4.058191507283482e-06,2.197151616201154e-08,0.0,0.0
8,40,1.0,1.021,33,0,0,0,pre_event,7.534427027167112e-06,0.0,0.0,0.0
8,61,1.5,1.505,54,0,0,1,event_crossing,23.16542870451437,25.58092447012033,0.0,0.0
9,22,0.5,0.5089999999999999,14,0,0,0,pre_event,3.866482984449249e-06,1.0697675634219195e-08,0.0,0.0
9,41,1.0,1.0039999999999998,33,0,0,0,pre_event,7.375875156867551e-06,0.0,0.0,0.0
9,63,1.5,1.518,55,0,0,1,event_crossing,23.885178315738578,11.304670769170965,0.0,0.0
10,24,0.5,0.5089999999999999,15,0,0,0,pre_event,3.3689381098156446e-06,0.0,0.0,0.0
10,43,1.0,1.0019999999999998,34,0,0,0,pre_event,7.1083845796238165e-06,0.0,0.0,0.0
10,65,1.5,1.512,56,0,0,1,event_crossing,24.180988803382785,5.343704571569804,0.0,0.0
11,25,0.5,0.52,15,0,0,0,pre_event,3.2478754974363255e-06,0.0,0.0,0.0
11,45,1.0,1.015,35,0,0,0,pre_event,7.036495730972092e-06,0.0,0.0,0.0
11,66,1.5,1.502,56,0,0,1,event_crossing,24.266266381391407,3.5532961934306764,0.0,0.0
12,26,0.5,0.538,15,0,0,0,pre_event,3.139320938316814e-06,0.0,0.0,0.0
12,46,1.0,1.0180000000000002,35,0,0,0,pre_event,6.838534091002657e-06,0.0,0.0,0.0
12,68,1.5,1.52,57,0,0,1,event_crossing,24.353431282262427,1.750912910410302,0.0,0.0
13,26,0.5,0.5129999999999999,14,0,0,0,pre_event,3.0634956829089788e-06,0.0,0.0,0.0
