plan_step,scenario_time_s,gate_x_cm,gate_y_cm,nominal_plan_nominal_model_x_cm,nominal_plan_nominal_model_y_cm,nominal_plan_residual_model_x_cm,nominal_plan_residual_model_y_cm,residual_plan_nominal_model_x_cm,residual_plan_nominal_model_y_cm,residual_plan_residual_model_x_cm,residual_plan_residual_model_y_cm
0,0.1,0.0,31.286893008046174,-99.78133520587316,-0.9713058476728246,-99.72352486262729,-0.9609748444311864,-99.83682646533371,-0.9818698795419707,-99.78574952435693,-0.9756930741635316
1,0.2,0.0,61.803398874989476,-99.59542249319065,-5.417598388850009,-98.67030279278455,-5.3935518084927025,-99.93620784845773,-5.421665882604441,-99.02388683325972,-5.465310522460556
2,0.30000000000000004,0.0,90.79809994790936,-101.72201566447794,-13.720289493447016,-97.22162145062751,-14.459962021770675,-102.44557606059581,-13.119605073885486,-98.21246074448936,-13.825839643651815
3,0.4,0.0,117.55705045849463,-105.24555436018835,-23.94826006645846,-94.79534803397631,-25.06422474428057,-106.48279528943151,-22.107825342794424,-96.38650681958812,-22.762289841203987
4,0.5,0.0,141.42135623730948,-103.55336079719768,-33.793270839694536,-89.01934010496532,-30.493435551600797,-107.12203004359205,-33.52070950284646,-89.998405827975,-28.94704399218329
5,0.6000000000000001,0.0,161.80339887498948,-95.47904085771992,-40.513104169953955,-80.51521057708995,-29.43568730032796,-102.69154975478202,-46.240367676061254,-78.6588802512238,-31.87501614028479
6,0.7000000000000001,0.0,178.20130483767358,-82.79913748572109,-43.44701153723488,-69.56485469541299,-23.809405946285043,-96.49729841630237,-58.57165596655454,-65.25231712074209,-33.82521511773207
7,0.8,0.0,190.2113032590307,-67.43010867943428,-45.65652062754894,-55.54317737318531,-17.89951048025397,-92.73883847047485,-71.1578825547324,-53.233048665639274,-38.890345869775224
8,0.9,0.0,197.53766811902756,-51.2947242947264,-47.97486117389511,-40.04376087717098,-13.217309998317923,-90.8304773508778,-84.00287604145697,-41.97119309589718,-45.37025465532863
9,1.0,0.0,200.0,-36.2753456936249,-51.479298809330366,-24.829037409096134,-10.965763170831181,-88.58973041970214,-97.37204848189904,-29.894236959093,-51.193381636746395
10,1.1,0.0,197.53766811902753,-23.349254689657382,-57.087097502494856,-10.718415196965582,-11.345674768043958,-82.55883600979338,-111.29348888607564,-15.125542037173751,-53.859144273543194
11,1.2000000000000002,0.0,190.2113032590307,-11.653222871403177,-64.28091111749087,2.989842934057837,-12.760957449563888,-72.57920584932427,-123.72329679714392,0.8554956093943241,-53.09612056030426
12,1.3,0.0,178.20130483767358,0.5106674347641746,-71.61711747773683,17.135740964908642,-13.29719793062113,-62.01902185303236,-134.0465343629763,15.627384092425919,-51.7880749336952
13,1.4000000000000001,0.0,161.80339887498948,15.263499444456738,-76.15873082809242,32.23321408027901,-10.07838882536585,-54.40967966249218,-143.57913980847866,27.75483113060932,-53.05473709646543
14,1.5,0.0,141.4213562373095,31.23663467191618,-76.46620476966629,46.86660366364257,-3.3457662113887388,-48.55975777275348,-153.30788109609463,38.8785749735745,-55.43813335600752
