episode_id,model,start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,parameter_change_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
5201,nominal,3,16,0.5,0.502,14,1,1,0.13336478843393706,5.272816274270056,0.0,0.0
5201,nominal,3,30,1.0,1.034,28,2,6,22.906138821635977,16.56447211855331,48.066171246385856,59.09915288298399
5201,nominal,3,47,1.5,1.502,45,3,7,14.966151453417751,43.781067303701015,15.968696579708464,46.308694733815805
5201,nominal,4,18,0.5,0.528,15,1,1,1.2366419118458225,26.10328210091187,0.0,0.0
5201,nominal,4,30,1.0,1.0050000000000001,27,2,6,22.906139162304953,16.564472118553738,48.066171246385856,59.09915288298399
5201,nominal,4,49,1.5,1.523,46,4,8,13.161141170754592,33.4407307490091,13.89551244028051,38.325947624080015
5201,nominal,5,19,0.5,0.5740000000000001,15,1,1,5.6471584828616415,58.033112538298795,0.0,0.0
5201,nominal,5,31,1.0,1.0030000000000001,27,2,6,23.22950515092873,11.548773894282277,46.01051000335314,73.41647748673651
5201,nominal,5,50,1.5,1.52,46,4,9,12.399631869511893,28.20889701717076,12.950237664448462,35.010178926289555
5201,nominal,6,19,0.5,0.538,14,1,1,5.647159001900263,58.03311253998727,0.0,0.0
5201,nominal,6,33,1.0,1.0179999999999998,28,2,6,23.57708466686188,5.536186526984054,41.679090921913485,87.74608908699653
5201,nominal,6,51,1.5,1.5070000000000001,46,4,10,11.838260116049293,24.426045194848502,12.162594568779545,34.24536207993958
5201,nominal,7,20,0.5,0.518,14,1,1,8.005022652565117,65.49620909425975,0.0,0.0
5201,nominal,7,35,1.0,1.0219999999999998,29,2,6,23.746588121000514,2.1530044417186502,36.19960673751499,91.7576702999883
5201,nominal,7,53,1.5,1.537,47,4,10,10.407069803120095,14.63125616105378,9.504863939078119,29.73258090917193
5201,nominal,8,21,0.5,0.5309999999999999,14,1,1,10.594891011645018,66.40688529341077,0.0,0.0
5201,nominal,8,36,1.0,1.027,29,2,6,23.78667305456065,1.2930628376004876,33.39698665583791,90.407103117076
5201,nominal,8,53,1.5,1.511,46,4,10,10.407069647382599,14.63125616105378,9.504863939078119,29.73258090917193
5201,nominal,9,22,0.5,0.5169999999999999,14,1,1,12.20473204672112,64.39363404633703,0.0,0.0
5201,nominal,9,37,1.0,1.0190000000000001,29,2,6,23.8104854539356,0.768131291536136,30.68230877893465,87.57025732319256
