session_id,state_sequence,simulation_time_s,visual_component_name,root_bone_name,actor_x_world_cm,actor_y_world_cm,actor_z_world_cm,visual_component_x_world_cm,visual_component_y_world_cm,visual_component_z_world_cm,animation_root_x_world_cm,animation_root_y_world_cm,animation_root_z_world_cm,actor_to_root_x_world_cm,actor_to_root_y_world_cm,actor_to_root_z_world_cm
7C88DBC1E840,0,0.049000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,1,0.149000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,2,0.249000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,3,0.305000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,4,0.322000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,5,0.339000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,6,0.378000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,7,0.431000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,8,0.531000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,9,0.596000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,10,0.656000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,11,0.699000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,12,0.755000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,13,0.809000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,14,0.857000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,15,0.908000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,16,1.008000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,17,1.045000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,18,1.068000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,19,1.102000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,20,1.149000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,21,1.200000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,22,1.255000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,23,1.306000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,24,1.353000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,25,1.406000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,26,1.459000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,27,1.511000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,28,1.565000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,29,1.626000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,30,1.677000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,31,1.728000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,32,1.777000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,33,1.830000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,34,1.882000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,35,1.933000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,36,1.981000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
